# A b Om H0
1.640606021657839309e+00 2.633704574355855854e+01 1.218987711947589897e-01 6.987294725409149976e+01
1.637175420621879152e+00 2.603395942653746786e+01 1.263066003313151608e-01 6.960100058158351999e+01
1.345467103457243851e+00 2.647619042296518543e+01 1.313108133696538338e-01 7.008349609364901767e+01
1.472856922147213865e+00 2.627450404379088056e+01 1.254146037003082692e-01 7.011344666150608873e+01
1.598997205407064026e+00 2.667567605754943116e+01 1.256094709842209556e-01 6.988736811109122016e+01
1.511235858379827990e+00 2.639272778245946682e+01 1.253855692103883201e-01 7.008847846113854985e+01
1.308235276107627909e+00 2.600426939422933970e+01 1.243484280098171024e-01 7.046631518331653865e+01
1.498594649903512099e+00 2.610024143128359242e+01 1.246365326390303507e-01 7.001457713978170716e+01
1.523265087636005877e+00 2.621102245950381260e+01 1.223111464529042652e-01 7.011201422446551135e+01
1.452971490160548385e+00 2.565320746201142299e+01 1.260637888825204833e-01 7.006711273077665680e+01
1.642813097098470010e+00 2.643696071873821651e+01 1.267244506564160211e-01 6.950453024933283075e+01
1.425876405538138769e+00 2.648709969032197975e+01 1.303689208750013762e-01 7.004552730426135554e+01
1.501065214995732422e+00 2.598945046685060589e+01 1.235220631772520339e-01 6.987304944207255630e+01
1.555223564637970846e+00 2.682108944407425000e+01 1.261572427057614243e-01 6.985385734139291003e+01
